scene_id,duograph_miou,conceptgraphs_miou,gap_miou,duograph_mrecall,conceptgraphs_mrecall,gap_mrecall,duograph_mprecision,conceptgraphs_mprecision,gap_mprecision,duograph_mf1score,conceptgraphs_mf1score,gap_mf1score,duograph_fmiou,conceptgraphs_fmiou,gap_fmiou
room0,19.346168430385422,21.3348021857319,-1.988633755346477,34.9802775355309,38.33523945953778,-3.3549619240068793,31.41816613952751,29.432649671545498,1.9855164679820128,25.29234287158029,25.27255634427201,0.019786527308276902,40.87748332667955,50.03472116567874,-9.157237838999187
all,19.346168430385422,24.531273201959582,-5.18510477157416,34.9802775355309,40.21560978223494,-5.23533224670404,31.41816613952751,36.17999221846137,-4.761826078933861,25.29234287158029,30.12228994412403,-4.829947072543742,40.87748332667955,36.237601582989,4.639881743690552
