scene_id,miou,mrecall,mprecision,mf1score,fmiou
room0,25.248194182210643,39.718602642254986,44.195611264718615,30.878564336527837,46.194803642256204
room1,22.990127358781663,42.78652197436282,25.878951227978657,27.58147572576411,39.10155672512502
all,19.011875305191747,38.361906030747505,38.74528078096254,25.807682252996795,42.41475686999911
