scene_id,duograph_miou,conceptgraphs_miou,gap_miou,duograph_mrecall,conceptgraphs_mrecall,gap_mrecall,duograph_mprecision,conceptgraphs_mprecision,gap_mprecision,duograph_mf1score,conceptgraphs_mf1score,gap_mf1score,duograph_fmiou,conceptgraphs_fmiou,gap_fmiou
room0,25.248194182210643,21.3348021857319,3.913391996478744,39.718602642254986,38.33523945953778,1.3833631827172042,44.195611264718615,29.432649671545498,14.762961593173117,30.878564336527837,25.27255634427201,5.606007992255826,46.194803642256204,50.03472116567874,-3.8399175234225353
room1,22.990127358781663,24.476757331898337,-1.486629973116674,42.78652197436282,38.326937979773476,4.4595839945893445,25.878951227978657,32.62922395216791,-6.750272724189255,27.58147572576411,29.23641697435178,-1.6549412485876687,39.10155672512502,42.9567639961548,-3.8552072710297765
all,19.011875305191747,24.531273201959582,-5.519397896767835,38.361906030747505,40.21560978223494,-1.853703751487437,38.74528078096254,36.17999221846137,2.5652885625011663,25.807682252996795,30.12228994412403,-4.314607691127236,42.41475686999911,36.237601582989,6.177155287010109
