init_dup_rate_global,init_semantic_accuracy,init_unique_targets,init_valid_eval_observations,layer1_coverage_vs_init,layer1_dup_rate_global,layer1_false_merge_rate,layer1_hypotheses,layer1_pair_precision,layer1_semantic_accuracy,layer1_unique_targets,layer2_coverage_vs_init,layer2_decision_accuracy,layer2_decision_accuracy_after_merge,layer2_decisions,layer2_duplicate_birth_rate,layer2_fragmented_target_rate,layer2_gt_target_fragmentation,layer2_id_switch_rate,layer2_semantic_accuracy,layer2_unique_targets,scene
0.985356,0.340693,128,8741,0.960938,0.981748,0.128506,6739,0.151036,0.289212,123,0.960938,0.79166,0.829797,6739,0.92729,0.894309,1358,0.434855,0.289212,123,room0
0.982328,0.414655,82,4640,0.987805,0.977512,0.112715,3602,0.188566,0.432537,81,0.987805,0.817324,0.860633,3602,0.900881,0.888889,622,0.44618,0.432537,81,room1
